hist_tagname,ign_tagprovider,ign_tagname,ign_fullpath,Imaginary
MTPSVR1.RW02RCW04FIWAQVA.F_CV,Mannheim,ASR Wells/RCW2_PLC01/RCW04_FIWA/QVA,[Mannheim]ASR Wells/RCW2_PLC01/RCW04_FIWA/QVA,0
MTPSVR1.RW02RCW04FIWAQYF.F_CV,Mannheim,ASR Wells/RCW2_PLC01/RCW04_FIWA/QYF,[Mannheim]ASR Wells/RCW2_PLC01/RCW04_FIWA/QYF,0
MTPSVR1.RW02RCW04LI01QVA.F_CV,Mannheim,ASR Wells/RCW2_PLC01/RCW04_LI01/QVA,[Mannheim]ASR Wells/RCW2_PLC01/RCW04_LI01/QVA,0
MTPSVR1.RW02RCW04LI01Q01.F_CV,Mannheim,ASR Wells/RCW2_PLC01/RCW04_LI01_Q01,[Mannheim]ASR Wells/RCW2_PLC01/RCW04_LI01_Q01,0
MTPSVR1.RW02RCW04PI01QVA.F_CV,Mannheim,ASR Wells/RCW2_PLC01/RCW04_PI01/QVA,[Mannheim]ASR Wells/RCW2_PLC01/RCW04_PI01/QVA,0
MTPSVR1.HVHAC0010000QRN.F_CV,Mannheim,Hidden Valley/HVH_PLC01/AC001_0000/QRN,[Mannheim]Hidden Valley/HVH_PLC01/AC001_0000/QRN,0
MTPSVR1.HVHAC0020000QRN.F_CV,Mannheim,Hidden Valley/HVH_PLC01/AC002_0000/QRN,[Mannheim]Hidden Valley/HVH_PLC01/AC002_0000/QRN,0
MTPSVR1.HVHGEN010000QRN.F_CV,Mannheim,Hidden Valley/HVH_PLC01/GEN01_0000_QRN,[Mannheim]Hidden Valley/HVH_PLC01/GEN01_0000_QRN,0
MTPSVR1.HVHGEN020000QRN.F_CV,Mannheim,Hidden Valley/HVH_PLC01/GEN02_0000_QRN,[Mannheim]Hidden Valley/HVH_PLC01/GEN02_0000_QRN,0
MTPSVR1.HVHRWL1FIQ01.F_CV,Mannheim,Hidden Valley/HVH_PLC01/HVHRWL1FIQ01,[Mannheim]Hidden Valley/HVH_PLC01/HVHRWL1FIQ01,1
MTPSVR1.HVHRWL1TT.F_CV,Mannheim,Hidden Valley/HVH_PLC01/HVHRWL1TT,[Mannheim]Hidden Valley/HVH_PLC01/HVHRWL1TT,1
MTPSVR1.HVHRWP500MDI.F_CV,Mannheim,Hidden Valley/HVH_PLC01/HVHRWP500MDI,[Mannheim]Hidden Valley/HVH_PLC01/HVHRWP500MDI,1
MTPSVR1.HVHRWP500SRS.F_CV,Mannheim,Hidden Valley/HVH_PLC01/HVHRWP500SRS,[Mannheim]Hidden Valley/HVH_PLC01/HVHRWP500SRS,1
MTPSVR1.HVHRWP5SIR01.F_CV,Mannheim,Hidden Valley/HVH_PLC01/HVHRWP5SIR01,[Mannheim]Hidden Valley/HVH_PLC01/HVHRWP5SIR01,1
MTPSVR1.HVHRWP600MDI.F_CV,Mannheim,Hidden Valley/HVH_PLC01/HVHRWP600MDI,[Mannheim]Hidden Valley/HVH_PLC01/HVHRWP600MDI,1
MTPSVR1.HVHRWP600SRS.F_CV,Mannheim,Hidden Valley/HVH_PLC01/HVHRWP600SRS,[Mannheim]Hidden Valley/HVH_PLC01/HVHRWP600SRS,1
MTPSVR1.HVHRWP6SIR01.F_CV,Mannheim,Hidden Valley/HVH_PLC01/HVHRWP6SIR01,[Mannheim]Hidden Valley/HVH_PLC01/HVHRWP6SIR01,1
MTPSVR1.HVHRWP700MDI.F_CV,Mannheim,Hidden Valley/HVH_PLC01/HVHRWP700MDI,[Mannheim]Hidden Valley/HVH_PLC01/HVHRWP700MDI,1
MTPSVR1.HVHRWP700SRS.F_CV,Mannheim,Hidden Valley/HVH_PLC01/HVHRWP700SRS,[Mannheim]Hidden Valley/HVH_PLC01/HVHRWP700SRS,1
MTPSVR1.HVHRWP7SIR01.F_CV,Mannheim,Hidden Valley/HVH_PLC01/HVHRWP7SIR01,[Mannheim]Hidden Valley/HVH_PLC01/HVHRWP7SIR01,1
MTPSVR1.HVLRWB0NIQ02.F_CV,Mannheim,Hidden Valley/HVH_PLC01/HVLRWB0NIQ02,[Mannheim]Hidden Valley/HVH_PLC01/HVLRWB0NIQ02,1
MTPSVR1.HVLRWP100MDI.F_CV,Mannheim,Hidden Valley/HVH_PLC01/HVLRWP100MDI,[Mannheim]Hidden Valley/HVH_PLC01/HVLRWP100MDI,1
MTPSVR1.HVLRWP100R01.F_CV,Mannheim,Hidden Valley/HVH_PLC01/HVLRWP100R01,[Mannheim]Hidden Valley/HVH_PLC01/HVLRWP100R01,1
MTPSVR1.HVHRWL01LI01VCA.F_CV,Mannheim,Hidden Valley/HVH_PLC01/RWL01_LI01_MASL/VCA,[Mannheim]Hidden Valley/HVH_PLC01/RWL01_LI01_MASL/VCA,0
MTPSVR1.HVHRWL01PI01QVA.F_CV,Mannheim,Hidden Valley/HVH_PLC01/RWL01_PI01/QVA,[Mannheim]Hidden Valley/HVH_PLC01/RWL01_PI01/QVA,0
MTPSVR1.HVHRWP050000QRN.F_CV,Mannheim,Hidden Valley/HVH_PLC01/RWP05_0000/QRN,[Mannheim]Hidden Valley/HVH_PLC01/RWP05_0000/QRN,0
MTPSVR1.HVHRWP050000QSI.F_CV,Mannheim,Hidden Valley/HVH_PLC01/RWP05_0000/QSI,[Mannheim]Hidden Valley/HVH_PLC01/RWP05_0000/QSI,0
MTPSVR1.HVHRWP050000VIG.F_CV,Mannheim,Hidden Valley/HVH_PLC01/RWP05_0000_VIG,[Mannheim]Hidden Valley/HVH_PLC01/RWP05_0000_VIG,0
MTPSVR1.HVHRWP050000VNV.F_CV,Mannheim,Hidden Valley/HVH_PLC01/RWP05_0000_VNV,[Mannheim]Hidden Valley/HVH_PLC01/RWP05_0000_VNV,0
MTPSVR1.HVHRWP05DV01QZI.F_CV,Mannheim,Hidden Valley/HVH_PLC01/RWP05_DV01/QZI,[Mannheim]Hidden Valley/HVH_PLC01/RWP05_DV01/QZI,0
MTPSVR1.HVHRWP05VM01QVA.F_CV,Mannheim,Hidden Valley/HVH_PLC01/RWP05_VM01/QVA,[Mannheim]Hidden Valley/HVH_PLC01/RWP05_VM01/QVA,0
MTPSVR1.HVHRWP060000QRN.F_CV,Mannheim,Hidden Valley/HVH_PLC01/RWP06_0000/QRN,[Mannheim]Hidden Valley/HVH_PLC01/RWP06_0000/QRN,0
MTPSVR1.HVHRWP060000QSI.F_CV,Mannheim,Hidden Valley/HVH_PLC01/RWP06_0000/QSI,[Mannheim]Hidden Valley/HVH_PLC01/RWP06_0000/QSI,0
MTPSVR1.HVHRWP060000VIG.F_CV,Mannheim,Hidden Valley/HVH_PLC01/RWP06_0000_VIG,[Mannheim]Hidden Valley/HVH_PLC01/RWP06_0000_VIG,0
MTPSVR1.HVHRWP060000VNV.F_CV,Mannheim,Hidden Valley/HVH_PLC01/RWP06_0000_VNV,[Mannheim]Hidden Valley/HVH_PLC01/RWP06_0000_VNV,0
MTPSVR1.HVHRWP06DV01QZI.F_CV,Mannheim,Hidden Valley/HVH_PLC01/RWP06_DV01/QZI,[Mannheim]Hidden Valley/HVH_PLC01/RWP06_DV01/QZI,0
MTPSVR1.HVHRWP06VM01QVA.F_CV,Mannheim,Hidden Valley/HVH_PLC01/RWP06_VM01/QVA,[Mannheim]Hidden Valley/HVH_PLC01/RWP06_VM01/QVA,0
MTPSVR1.HVHRWP070000QRN.F_CV,Mannheim,Hidden Valley/HVH_PLC01/RWP07_0000/QRN,[Mannheim]Hidden Valley/HVH_PLC01/RWP07_0000/QRN,0
MTPSVR1.HVHRWP070000QSI.F_CV,Mannheim,Hidden Valley/HVH_PLC01/RWP07_0000/QSI,[Mannheim]Hidden Valley/HVH_PLC01/RWP07_0000/QSI,0
MTPSVR1.HVHRWP070000VIG.F_CV,Mannheim,Hidden Valley/HVH_PLC01/RWP07_0000_VIG,[Mannheim]Hidden Valley/HVH_PLC01/RWP07_0000_VIG,0
MTPSVR1.HVHRWP070000VNV.F_CV,Mannheim,Hidden Valley/HVH_PLC01/RWP07_0000_VNV,[Mannheim]Hidden Valley/HVH_PLC01/RWP07_0000_VNV,0
MTPSVR1.HVHRWP07DV01QZI.F_CV,Mannheim,Hidden Valley/HVH_PLC01/RWP07_DV01/QZI,[Mannheim]Hidden Valley/HVH_PLC01/RWP07_DV01/QZI,0
MTPSVR1.HVHRWP07VM01QVA.F_CV,Mannheim,Hidden Valley/HVH_PLC01/RWP07_VM01/QVA,[Mannheim]Hidden Valley/HVH_PLC01/RWP07_VM01/QVA,0
MTPSVR1.HVHRWT00BL01QRN.F_CV,Mannheim,Hidden Valley/HVH_PLC01/RWT00_BL01/QRN,[Mannheim]Hidden Valley/HVH_PLC01/RWT00_BL01/QRN,0
MTPSVR1.HVHRWT00BL02QRN.F_CV,Mannheim,Hidden Valley/HVH_PLC01/RWT00_BL02/QRN,[Mannheim]Hidden Valley/HVH_PLC01/RWT00_BL02/QRN,0
MTPSVR1.HVHRWT00NI01QVA.F_CV,Mannheim,Hidden Valley/HVH_PLC01/RWT00_NI01/QVA,[Mannheim]Hidden Valley/HVH_PLC01/RWT00_NI01/QVA,0
MTPSVR1.HVHSGT01PI01QVA.F_CV,Mannheim,Hidden Valley/HVH_PLC01/SGT01_PI01/QVA,[Mannheim]Hidden Valley/HVH_PLC01/SGT01_PI01/QVA,0
MTPSVR1.HVHTRS030000QRN.F_CV,Mannheim,Hidden Valley/HVH_PLC01/TRS03_0000/QRN,[Mannheim]Hidden Valley/HVH_PLC01/TRS03_0000/QRN,0
MTPSVR1.HVHTRS03LI01QVA.F_CV,Mannheim,Hidden Valley/HVH_PLC01/TRS03_LI01/QVA,[Mannheim]Hidden Valley/HVH_PLC01/TRS03_LI01/QVA,0
MTPSVR1.HVHTRS03LI02QVA.F_CV,Mannheim,Hidden Valley/HVH_PLC01/TRS03_LI02/QVA,[Mannheim]Hidden Valley/HVH_PLC01/TRS03_LI02/QVA,0
MTPSVR1.HVLRWB0NIQ03.F_CV,Mannheim,Hidden Valley/HVL_PLC01/HVLRWB0NIQ03,[Mannheim]Hidden Valley/HVL_PLC01/HVLRWB0NIQ03,1
MTPSVR1.HVLRWB00CE01QVA.F_CV,Mannheim,Hidden Valley/HVL_PLC01/RWB00_CE01/QVA,[Mannheim]Hidden Valley/HVL_PLC01/RWB00_CE01/QVA,0
MTPSVR1.HVLRWB00DO01QVA.F_CV,Mannheim,Hidden Valley/HVL_PLC01/RWB00_DO01/QVA,[Mannheim]Hidden Valley/HVL_PLC01/RWB00_DO01/QVA,0
MTPSVR1.HVLRWB00NI01QVA.F_CV,Mannheim,Hidden Valley/HVL_PLC01/RWB00_NI01/QVA,[Mannheim]Hidden Valley/HVL_PLC01/RWB00_NI01/QVA,0
MTPSVR1.HVLRWB00PH01QVA.F_CV,Mannheim,Hidden Valley/HVL_PLC01/RWB00_PH01/QVA,[Mannheim]Hidden Valley/HVL_PLC01/RWB00_PH01/QVA,0
MTPSVR1.HVLRWB00TI01QVA.F_CV,Mannheim,Hidden Valley/HVL_PLC01/RWB00_TI01/QVA,[Mannheim]Hidden Valley/HVL_PLC01/RWB00_TI01/QVA,0
MTPSVR1.HVLRWL01FI01QFL.F_CV,Mannheim,Hidden Valley/HVL_PLC01/RWL01_FI01/QFL,[Mannheim]Hidden Valley/HVL_PLC01/RWL01_FI01/QFL,0
MTPSVR1.HVLRWL01FI01QVA.F_CV,Mannheim,Hidden Valley/HVL_PLC01/RWL01_FI01/QVA,[Mannheim]Hidden Valley/HVL_PLC01/RWL01_FI01/QVA,0
MTPSVR1.HVLRWL01FI01QYF.F_CV,Mannheim,Hidden Valley/HVL_PLC01/RWL01_FI01/QYF,[Mannheim]Hidden Valley/HVL_PLC01/RWL01_FI01/QYF,0
MTPSVR1.HVLRWL01LI01VCA.F_CV,Mannheim,Hidden Valley/HVL_PLC01/RWL01_LI01_MASL/VCA,[Mannheim]Hidden Valley/HVL_PLC01/RWL01_LI01_MASL/VCA,0
MTPSVR1.HVLRWL01PI01QVA.F_CV,Mannheim,Hidden Valley/HVL_PLC01/RWL01_PI01/QVA,[Mannheim]Hidden Valley/HVL_PLC01/RWL01_PI01/QVA,0
MTPSVR1.HVLRWP010000QRN.F_CV,Mannheim,Hidden Valley/HVL_PLC01/RWP01_0000/QRN,[Mannheim]Hidden Valley/HVL_PLC01/RWP01_0000/QRN,0
MTPSVR1.HVLRWP010000QSI.F_CV,Mannheim,Hidden Valley/HVL_PLC01/RWP01_0000/QSI,[Mannheim]Hidden Valley/HVL_PLC01/RWP01_0000/QSI,0
MTPSVR1.HVLRWP010000SRS.F_CV,Mannheim,Hidden Valley/HVL_PLC01/RWP01_0000/SRS,[Mannheim]Hidden Valley/HVL_PLC01/RWP01_0000/SRS,0
MTPSVR1.HVLRWP01DV01QZI.F_CV,Mannheim,Hidden Valley/HVL_PLC01/RWP01_DV01/QZI,[Mannheim]Hidden Valley/HVL_PLC01/RWP01_DV01/QZI,0
MTPSVR1.HVLRWP01TI01QVA.F_CV,Mannheim,Hidden Valley/HVL_PLC01/RWP01_TI01/QVA,[Mannheim]Hidden Valley/HVL_PLC01/RWP01_TI01/QVA,0
MTPSVR1.HVLRWP01TI02QVA.F_CV,Mannheim,Hidden Valley/HVL_PLC01/RWP01_TI02/QVA,[Mannheim]Hidden Valley/HVL_PLC01/RWP01_TI02/QVA,0
MTPSVR1.HVLRWP200MDI.F_CV,Mannheim,Hidden Valley/HVL_PLC01/RWP02_0000/MDI,[Mannheim]Hidden Valley/HVL_PLC01/RWP02_0000/MDI,0
MTPSVR1.HVLRWP020000QRN.F_CV,Mannheim,Hidden Valley/HVL_PLC01/RWP02_0000/QRN,[Mannheim]Hidden Valley/HVL_PLC01/RWP02_0000/QRN,0
MTPSVR1.HVLRWP020000QSI.F_CV,Mannheim,Hidden Valley/HVL_PLC01/RWP02_0000/QSI,[Mannheim]Hidden Valley/HVL_PLC01/RWP02_0000/QSI,0
MTPSVR1.HVLRWP020000SRS.F_CV,Mannheim,Hidden Valley/HVL_PLC01/RWP02_0000/SRS,[Mannheim]Hidden Valley/HVL_PLC01/RWP02_0000/SRS,0
MTPSVR1.HVLRWP02DV01QZI.F_CV,Mannheim,Hidden Valley/HVL_PLC01/RWP02_DV01/QZI,[Mannheim]Hidden Valley/HVL_PLC01/RWP02_DV01/QZI,0
MTPSVR1.HVLRWP02TI01QVA.F_CV,Mannheim,Hidden Valley/HVL_PLC01/RWP02_TI01/QVA,[Mannheim]Hidden Valley/HVL_PLC01/RWP02_TI01/QVA,0
MTPSVR1.HVLRWP02TI02QVA.F_CV,Mannheim,Hidden Valley/HVL_PLC01/RWP02_TI02/QVA,[Mannheim]Hidden Valley/HVL_PLC01/RWP02_TI02/QVA,0
MTPSVR1.HVLTRS010000QRN.F_CV,Mannheim,Hidden Valley/HVL_PLC01/TRS01_0000/QRN,[Mannheim]Hidden Valley/HVL_PLC01/TRS01_0000/QRN,0
MTPSVR1.HVLTRS01LI01QVA.F_CV,Mannheim,Hidden Valley/HVL_PLC01/TRS01_LI01/QVA,[Mannheim]Hidden Valley/HVL_PLC01/TRS01_LI01/QVA,0
MTPSVR1.HVLTRS01LI02QVA.F_CV,Mannheim,Hidden Valley/HVL_PLC01/TRS01_LI02/QVA,[Mannheim]Hidden Valley/HVL_PLC01/TRS01_LI02/QVA,0
MTPSVR1.HVLTRS020000QRN.F_CV,Mannheim,Hidden Valley/HVL_PLC01/TRS02_0000/QRN,[Mannheim]Hidden Valley/HVL_PLC01/TRS02_0000/QRN,0
MTPSVR1.HVLTRS02LI01QVA.F_CV,Mannheim,Hidden Valley/HVL_PLC01/TRS02_LI01/QVA,[Mannheim]Hidden Valley/HVL_PLC01/TRS02_LI01/QVA,0
MTPSVR1.HVLTRS02LI02QVA.F_CV,Mannheim,Hidden Valley/HVL_PLC01/TRS02_LI02/QVA,[Mannheim]Hidden Valley/HVL_PLC01/TRS02_LI02/QVA,0
MTPSVR1.HVLVCH01PI01QVA.F_CV,Mannheim,Hidden Valley/HVL_PLC01/VCH01_PI01/QVA,[Mannheim]Hidden Valley/HVL_PLC01/VCH01_PI01/QVA,0
MTPSVR1.MHRAMG01GC01QVA.F_CV,Mannheim,MHR_PLC01/AMG01_GC01/QVA,[Mannheim]MHR_PLC01/AMG01_GC01/QVA,0
MTPSVR1.MHRAMG01GC02QVA.F_CV,Mannheim,MHR_PLC01/AMG01_GC02/QVA,[Mannheim]MHR_PLC01/AMG01_GC02/QVA,0
MTPSVR1.MHRAMG01GC03QVA.F_CV,Mannheim,MHR_PLC01/AMG01_GC03/QVA,[Mannheim]MHR_PLC01/AMG01_GC03/QVA,0
MTPSVR1.MHRAMG01GC04QVA.F_CV,Mannheim,MHR_PLC01/AMG01_GC04/QVA,[Mannheim]MHR_PLC01/AMG01_GC04/QVA,0
MTPSVR1.MHRASP010000QRN.F_CV,Mannheim,MHR_PLC01/ASP01_0000/QRN,[Mannheim]MHR_PLC01/ASP01_0000/QRN,0
MTPSVR1.MHRASP010000RSC.F_CV,Mannheim,MHR_PLC01/ASP01_0000/RSC,[Mannheim]MHR_PLC01/ASP01_0000/RSC,0
MTPSVR1.MHRASP020000QRN.F_CV,Mannheim,MHR_PLC01/ASP02_0000/QRN,[Mannheim]MHR_PLC01/ASP02_0000/QRN,0
MTPSVR1.MHRASP020000RSC.F_CV,Mannheim,MHR_PLC01/ASP02_0000/RSC,[Mannheim]MHR_PLC01/ASP02_0000/RSC,0
MTPSVR1.MHRASP030000QRN.F_CV,Mannheim,MHR_PLC01/ASP03_0000/QRN,[Mannheim]MHR_PLC01/ASP03_0000/QRN,0
MTPSVR1.MHRASP030000RSC.F_CV,Mannheim,MHR_PLC01/ASP03_0000/RSC,[Mannheim]MHR_PLC01/ASP03_0000/RSC,0
MTPSVR1.MHRASP040000QRN.F_CV,Mannheim,MHR_PLC01/ASP04_0000/QRN,[Mannheim]MHR_PLC01/ASP04_0000/QRN,0
MTPSVR1.MHRASP040000RSC.F_CV,Mannheim,MHR_PLC01/ASP04_0000/RSC,[Mannheim]MHR_PLC01/ASP04_0000/RSC,0
MTPSVR1.MHRAST01LI01QVA.F_CV,Mannheim,MHR_PLC01/AST01_LI01/QVA,[Mannheim]MHR_PLC01/AST01_LI01/QVA,0
MTPSVR1.MHRAST02LI01QVA.F_CV,Mannheim,MHR_PLC01/AST02_LI01/QVA,[Mannheim]MHR_PLC01/AST02_LI01/QVA,0
MTPSVR1.MHRAST03LI01QVA.F_CV,Mannheim,MHR_PLC01/AST03_LI01/QVA,[Mannheim]MHR_PLC01/AST03_LI01/QVA,0
MTPSVR1.MHRAST04LI01QVA.F_CV,Mannheim,MHR_PLC01/AST04_LI01/QVA,[Mannheim]MHR_PLC01/AST04_LI01/QVA,0
MTPSVR1.MHRIL00XFI01QFL.F_CV,Mannheim,MHR_PLC01/IL00X_FI01/QFL,[Mannheim]MHR_PLC01/IL00X_FI01/QFL,0
MTPSVR1.MHRIL00XFI01QVA.F_CV,Mannheim,MHR_PLC01/IL00X_FI01/QVA,[Mannheim]MHR_PLC01/IL00X_FI01/QVA,0
MTPSVR1.MHRIL00XFI01QYF.F_CV,Mannheim,MHR_PLC01/IL00X_FI01/QYF,[Mannheim]MHR_PLC01/IL00X_FI01/QYF,0
MTPSVR1.MHRIL00XRF01QVA.F_CV,Mannheim,MHR_PLC01/IL00X_RF01/QVA,[Mannheim]MHR_PLC01/IL00X_RF01/QVA,0
MTPSVR1.MHRIL040FI01QVA.F_CV,Mannheim,MHR_PLC01/IL040_FI01/QVA,[Mannheim]MHR_PLC01/IL040_FI01/QVA,0
MTPSVR1.KIWK090FXQ01.F_CV,Mannheim,MHR_PLC01/KIWK090FXQ01,[Mannheim]MHR_PLC01/KIWK090FXQ01,1
MTPSVR1.MHRAMM1CVQZI.F_CV,Mannheim,MHR_PLC01/MHRAMM1CVQZI,[Mannheim]MHR_PLC01/MHRAMM1CVQZI,1
MTPSVR1.MHRAMM2CVQZI.F_CV,Mannheim,MHR_PLC01/MHRAMM2CVQZI,[Mannheim]MHR_PLC01/MHRAMM2CVQZI,1
MTPSVR1.MHRAMM3CVQZI.F_CV,Mannheim,MHR_PLC01/MHRAMM3CVQZI,[Mannheim]MHR_PLC01/MHRAMM3CVQZI,1
MTPSVR1.MHRAMT1LIQ01.F_CV,Mannheim,MHR_PLC01/MHRAMT1LIQ01,[Mannheim]MHR_PLC01/MHRAMT1LIQ01,1
MTPSVR1.MHRAMT1PIQ01.F_CV,Mannheim,MHR_PLC01/MHRAMT1PIQ01,[Mannheim]MHR_PLC01/MHRAMT1PIQ01,1
MTPSVR1.MHRAMT1TIQ01.F_CV,Mannheim,MHR_PLC01/MHRAMT1TIQ01,[Mannheim]MHR_PLC01/MHRAMT1TIQ01,1
MTPSVR1.MHRRES0CA600.F_CV,Mannheim,MHR_PLC01/MHRRES0CA600,[Mannheim]MHR_PLC01/MHRRES0CA600,1
MTPSVR1.MHRRES0CARCT.F_CV,Mannheim,MHR_PLC01/MHRRES0CARCT,[Mannheim]MHR_PLC01/MHRRES0CARCT,1
MTPSVR1.MHRRES0CAVTV.F_CV,Mannheim,MHR_PLC01/MHRRES0CAVTV,[Mannheim]MHR_PLC01/MHRRES0CAVTV,1
MTPSVR1.MHRWELLFXQ01.F_CV,Mannheim,MHR_PLC01/MHRWELLFXQ01,[Mannheim]MHR_PLC01/MHRWELLFXQ01,1
MTPSVR1.MTPBLE0FXR02.F_CV,Mannheim,MHR_PLC01/MTPBLE0FXR02,[Mannheim]MHR_PLC01/MTPBLE0FXR02,1
MTPSVR1.MHRMXP00FI01QVA.F_CV,Mannheim,MHR_PLC01/MXP00_FI01/QVA,[Mannheim]MHR_PLC01/MXP00_FI01/QVA,0
MTPSVR1.MHROL010FI01QFL.F_CV,Mannheim,MHR_PLC01/OL010_FI01/QFL,[Mannheim]MHR_PLC01/OL010_FI01/QFL,0
MTPSVR1.MHROL010FI01QVA.F_CV,Mannheim,MHR_PLC01/OL010_FI01/QVA,[Mannheim]MHR_PLC01/OL010_FI01/QVA,0
MTPSVR1.MHROL010FI01QYF.F_CV,Mannheim,MHR_PLC01/OL010_FI01/QYF,[Mannheim]MHR_PLC01/OL010_FI01/QYF,0
MTPSVR1.MHRRES01LI01QVA.F_CV,Mannheim,MHR_PLC01/RES01_LI01/QVA,[Mannheim]MHR_PLC01/RES01_LI01/QVA,0
MTPSVR1.MHRRES01LI01VLV.F_CV,Mannheim,MHR_PLC01/RES01_LI01_VLV,[Mannheim]MHR_PLC01/RES01_LI01_VLV,0
MTPSVR1.MHRRES01RA01QVA.F_CV,Mannheim,MHR_PLC01/RES01_RA01/QVA,[Mannheim]MHR_PLC01/RES01_RA01/QVA,0
MTPSVR1.MHRRES02LI01QVA.F_CV,Mannheim,MHR_PLC01/RES02_LI01/QVA,[Mannheim]MHR_PLC01/RES02_LI01/QVA,0
MTPSVR1.MHRRES02LI01VLV.F_CV,Mannheim,MHR_PLC01/RES02_LI01_VLV,[Mannheim]MHR_PLC01/RES02_LI01_VLV,0
MTPSVR1.MHRW000XFI01QFL.F_CV,Mannheim,MHR_PLC01/W000X_FI01/QFL,[Mannheim]MHR_PLC01/W000X_FI01/QFL,0
MTPSVR1.MHRW000XFI01QVA.F_CV,Mannheim,MHR_PLC01/W000X_FI01/QVA,[Mannheim]MHR_PLC01/W000X_FI01/QVA,0
MTPSVR1.MHRW000XFI01QYF.F_CV,Mannheim,MHR_PLC01/W000X_FI01/QYF,[Mannheim]MHR_PLC01/W000X_FI01/QYF,0
MTPSVR1.MHRW000XFI02QFL.F_CV,Mannheim,MHR_PLC01/W000X_FI02/QFL,[Mannheim]MHR_PLC01/W000X_FI02/QFL,0
MTPSVR1.MHRW000XFI02QVA.F_CV,Mannheim,MHR_PLC01/W000X_FI02/QVA,[Mannheim]MHR_PLC01/W000X_FI02/QVA,0
MTPSVR1.MHRW000XFI02QYF.F_CV,Mannheim,MHR_PLC01/W000X_FI02/QYF,[Mannheim]MHR_PLC01/W000X_FI02/QYF,0
MTPSVR1.MHRW002XFI01QFL.F_CV,Mannheim,MHR_PLC01/W002X_FI01/QFL,[Mannheim]MHR_PLC01/W002X_FI01/QFL,0
MTPSVR1.MHRW002XFI01QVA.F_CV,Mannheim,MHR_PLC01/W002X_FI01/QVA,[Mannheim]MHR_PLC01/W002X_FI01/QVA,0
MTPSVR1.MHRW002XFI01QYF.F_CV,Mannheim,MHR_PLC01/W002X_FI01/QYF,[Mannheim]MHR_PLC01/W002X_FI01/QYF,0
MTPSVR1.MHRW002XFI02QFL.F_CV,Mannheim,MHR_PLC01/W002X_FI02/QFL,[Mannheim]MHR_PLC01/W002X_FI02/QFL,0
MTPSVR1.MHRW002XFI02QVA.F_CV,Mannheim,MHR_PLC01/W002X_FI02/QVA,[Mannheim]MHR_PLC01/W002X_FI02/QVA,0
MTPSVR1.MHRW002XFI02QYF.F_CV,Mannheim,MHR_PLC01/W002X_FI02/QYF,[Mannheim]MHR_PLC01/W002X_FI02/QYF,0
MTPSVR1.MHRW009XFI01QFL.F_CV,Mannheim,MHR_PLC01/W009X_FI01/QFL,[Mannheim]MHR_PLC01/W009X_FI01/QFL,0
MTPSVR1.MHRW009XFI01QVA.F_CV,Mannheim,MHR_PLC01/W009X_FI01/QVA,[Mannheim]MHR_PLC01/W009X_FI01/QVA,0
MTPSVR1.MHRW009XFI01QYF.F_CV,Mannheim,MHR_PLC01/W009X_FI01/QYF,[Mannheim]MHR_PLC01/W009X_FI01/QYF,0
MTPSVR1.MOZMIX01FI01QFL.F_CV,Mannheim,MOZ_PLC01/MIX01_FI01/QFL,[Mannheim]MOZ_PLC01/MIX01_FI01/QFL,0
MTPSVR1.MOZMIX01FI01QVA.F_CV,Mannheim,MOZ_PLC01/MIX01_FI01/QVA,[Mannheim]MOZ_PLC01/MIX01_FI01/QVA,0
MTPSVR1.MOZMIX01FI01QYF.F_CV,Mannheim,MOZ_PLC01/MIX01_FI01/QYF,[Mannheim]MOZ_PLC01/MIX01_FI01/QYF,0
MTPSVR1.MOZMIX02FI01QFL.F_CV,Mannheim,MOZ_PLC01/MIX02_FI01/QFL,[Mannheim]MOZ_PLC01/MIX02_FI01/QFL,0
MTPSVR1.MOZMIX02FI01QVA.F_CV,Mannheim,MOZ_PLC01/MIX02_FI01/QVA,[Mannheim]MOZ_PLC01/MIX02_FI01/QVA,0
MTPSVR1.MOZMIX02FI01QYF.F_CV,Mannheim,MOZ_PLC01/MIX02_FI01/QYF,[Mannheim]MOZ_PLC01/MIX02_FI01/QYF,0
MTPSVR1.MOZMIX03FI01QFL.F_CV,Mannheim,MOZ_PLC01/MIX03_FI01/QFL,[Mannheim]MOZ_PLC01/MIX03_FI01/QFL,0
MTPSVR1.MOZMIX03FI01QVA.F_CV,Mannheim,MOZ_PLC01/MIX03_FI01/QVA,[Mannheim]MOZ_PLC01/MIX03_FI01/QVA,0
MTPSVR1.MOZMIX03FI01QYF.F_CV,Mannheim,MOZ_PLC01/MIX03_FI01/QYF,[Mannheim]MOZ_PLC01/MIX03_FI01/QYF,0
MTPSVR1.MOZMIX04FI01QFL.F_CV,Mannheim,MOZ_PLC01/MIX04_FI01/QFL,[Mannheim]MOZ_PLC01/MIX04_FI01/QFL,0
MTPSVR1.MOZMIX04FI01QVA.F_CV,Mannheim,MOZ_PLC01/MIX04_FI01/QVA,[Mannheim]MOZ_PLC01/MIX04_FI01/QVA,0
MTPSVR1.MOZMIX04FI01QYF.F_CV,Mannheim,MOZ_PLC01/MIX04_FI01/QYF,[Mannheim]MOZ_PLC01/MIX04_FI01/QYF,0
